userName,score,at,content
Abd rahim Rahim,5,2024-09-30 08:06:11,"Slam kenal semua,, 🙏🙏"
sulfinmahri. 97,5,2024-09-30 08:04:05,Sangat membantu dan menghibur
Hendrik Andrean,2,2024-09-30 08:03:49,marketplace tidak ada
Apa Apa,5,2024-09-30 08:03:43,8u..m.7l.98n 897.8897
Trilocohan Naik,5,2024-09-30 08:03:27,Noapdeat
Ida Ida,5,2024-09-30 08:03:06,agar lebih luas jangkauan
Tamba Raja,5,2024-09-30 07:57:58,Bagus n mantap
Atep Kisut,5,2024-09-30 07:57:33,mantap
Decy Ellen Souhuwat,3,2024-09-30 07:56:29,tidak dapat memutar kamera ketika live
Ssukirno2299,5,2024-09-30 07:54:44,Joss pokoe🙏
Riyan Abdul,1,2024-09-30 07:52:19,Makin banyak video sesat
Agam Marugul,5,2024-09-30 07:49:25,mantap
Insuc先輩,3,2024-09-30 07:46:20,ini wa nya gak bisa gimana à
Jaring Anum,2,2024-09-30 07:42:38,Facebook sekarang kebanyak iklan judi onlinenya!
Tino1987 GGMU,3,2024-09-30 07:41:57,Udh beli tp kok gx masuk ya
Laila Azzahra,5,2024-09-30 07:41:23,Mantappp
MHDAMRAN MAULANA,5,2024-09-30 07:40:01,Sangat bagus sekali
Ajisman Mandai,1,2024-09-30 07:36:53,mantap lah
ihsan saputra,5,2024-09-30 07:32:19,Masih Menjadi Aplikasi Favorit 😁
Joni Syahputra,5,2024-09-30 07:27:05,Berbagai
Phapa Khece,5,2024-09-30 07:23:25,makim keren
Ayip Alfariz,5,2024-09-30 07:22:00,Bagus
Djatim Jatim,5,2024-09-30 07:17:06,keren
Aipda EROSEM NUHUYANAN,2,2024-09-30 07:16:16,Saya beli star 1200 harganya 342000 tidak masuk gimana ini
Wahyu Siregar,5,2024-09-30 07:13:51,sangat membantu bagi saya
zeephenx Bahars,5,2024-09-30 07:11:41,Mantaapppp
Oppo A17,5,2024-09-30 07:07:15,Sangat tertarik
Didi Faisal,3,2024-09-30 07:04:50,Mksh meta
Lia Fuzi Lestari,5,2024-09-30 06:59:18,cakeeeeppp 🌹
Isma Wati,5,2024-09-30 06:54:49,sangat bagus aku suka
Atthar Hasan,5,2024-09-30 06:54:19,bagus
Dani AF,5,2024-09-30 06:52:40,Menurut saya sangat bagus dan cara nya mudah di pahami dan gampang di gunakan di kehidupan sehari hari pokoknya sangat rekomen dah
Jihan Asyifatul Qalbi,5,2024-09-30 06:51:48,Teruskan tingkat kan kemajuan aplikasi facebook agar makin terdepan
Nur Rohmad,5,2024-09-30 06:51:33,Bagus bisa mengetahui informasi tentang apa saja
Sandi Putra,5,2024-09-30 06:49:26,mantap
YouTuber Receh,5,2024-09-30 06:44:44,Semenjak ada FB pro..main FB lebih seru
izna gisella,5,2024-09-30 06:43:19,sukses selalu fb 👏🏻
Ahamd Dialo,5,2024-09-30 06:36:08,sangat baik
Rohimah Imah,4,2024-09-30 06:36:01,"Bagus, cuma ngga bisa diupdate"
Lissa Latisa,4,2024-09-30 06:35:26,"Untuk postingan Video, reels dan Live tolong lah di pisah, biar rapi penempatannya. Orang yang Nonton juga bisa lebih nyaman"
marlyana bangun,3,2024-09-30 06:34:43,Bagus
Arfan Alfarizi,5,2024-09-30 06:34:42,top
Gjf Gengkoa,5,2024-09-30 06:31:33,Apik
riyan doank,5,2024-09-30 06:22:37,terbaik
Zulfikar 77,1,2024-09-30 06:20:37,"Icon watch video hilang di akun FB saya, tidak ada juga pengaturan sudah berlangsung beberapa tahun"
Galum Mora olo,5,2024-09-30 06:19:20,Saya suka
opay oceh,5,2024-09-30 06:17:28,Lanjutkan
Oka Diari,5,2024-09-30 06:15:22,Baik tuk pertemanan sayangnya komennan suka dibatasi sama fb
Aliza Liza,5,2024-09-30 06:14:59,sangat baik
kardi mubarok,5,2024-09-30 06:10:29,Sarang para penipu penjual online
Zania ISMA,3,2024-09-30 06:09:10,Buka
Ernida Wati,5,2024-09-30 06:02:52,ok banget
Vsvsvss shss,4,2024-09-30 05:57:41,Good
Kontol Lodon7,2,2024-09-30 05:57:23,Nikah Pacaran Punya anak
Rabby Awal,4,2024-09-30 05:56:48,"Tolong bantuannya, di akun saya tidak bisa mencari saat ingin nonton live streaming & selalu muncul permintaan lokasi"
Muhamad Alfiyan Wahyudi,5,2024-09-30 05:55:44,Keren
Aza Aje,5,2024-09-30 05:52:20,Mantul fb
Taufik Irmansyah,5,2024-09-30 05:50:17,the future of driving ...agree
Uci Black,5,2024-09-30 05:50:12,good
Abdul Rahim Pardede,5,2024-09-30 05:49:09,😜😂😂😂🤪
Rysa Nurfdlhh,5,2024-09-30 05:46:37,saya suka apk ini sangat membantu
Azkia Mahira,5,2024-09-30 05:46:26,🙂
Samsulbahri Samsul,5,2024-09-30 05:45:37,suka dengan aplikasi Facebook nya
Uten Musa,5,2024-09-30 05:43:28,sangat puas
Jhon Fransisco,4,2024-09-30 05:42:15,mantap
Dedisuandi S,5,2024-09-30 05:36:57,sanga bagusss
moat babong,5,2024-09-30 05:32:33,Bagus
Deden Begeng,5,2024-09-30 05:32:17,sangat puas
Fauzan Ton,5,2024-09-30 05:31:59,sangat baik dan membantu
yuwono,5,2024-09-30 05:25:07,Bagus sekali
Andi Samuri,2,2024-09-30 05:24:41,Setelah di update malah gak bisa upload video reel... makin kesini makin kesana
Imas Masitoh,5,2024-09-30 05:24:25,mantap
Yohanes Mone,5,2024-09-30 05:24:24,Mantap Facebook bisa menemukan teman² baru
Liza Sembiring,5,2024-09-30 05:22:30,Sangat menginspirasi sekali.
Kontol lodonn,4,2024-09-30 05:20:43,Tolong di perbaiki lagi kepada pihak Facebook Facebook sekarang banyak bug saya suka beli akun game online Log fb suka bug gak bisa hapus nomor dan email dan sekarang banyak Yang pada terkunci akun Facebook nya Mohon untuk di perbaiki lagi Terima kasih
Tongkat Sihir,5,2024-09-30 05:19:36,the best
isep maulana,1,2024-09-30 05:08:14,Bikin akun baru juga di persulit dalam nama padahal sesuai KTP ini lah itulah jadi males pake😠
Sarti Rahayu,2,2024-09-30 05:07:06,mau download fecabook life gk bisa kena apa ya
Ari indra Saputra,1,2024-09-30 05:06:02,Saya heran di Facebook ini sedikit kena pembatasan sering sukai video orang binatang memang kalau memang tidak bisa suka dan komentar video dan status orang hapus aplikasi ini jengkel saya jadinya
Azizah Azizah,5,2024-09-30 04:59:54,okeoke klw buat aku pribadi
Rania Rania,4,2024-09-30 04:59:52,Mntap
Iwan Ginanjar,5,2024-09-30 04:59:47,bagus banget pemandangannya
Devi Akhtora,5,2024-09-30 04:59:16,Sangat berguna. Tingkatkan terus fb pro. Mantap
R Mohammed Alam,3,2024-09-30 04:58:23,Sudah mulai baik...
Oland ST,5,2024-09-30 04:57:56,Bagus
Fandhy Rulaghi,5,2024-09-30 04:55:10,mantap
Iskandar 122,5,2024-09-30 04:53:02,sangat membantu
Raflhy 151,2,2024-09-30 04:48:49,Facebook toling jangan tampilkan iklan judi online di akun saya
Yasnidar Zebua,3,2024-09-30 04:47:07,Tolong di perbaiki lagi aplikasi Facebook nya bang/kak saya tidak bisa kirim bintang kepada sesama kreator. Notifnya tidak terjadi coba lagi atau muat ulang
Bush Inda,5,2024-09-30 04:45:05,Bintang 5
Susi Idayanti,5,2024-09-30 04:44:50,sangat puas
Leopardede Pardede,5,2024-09-30 04:43:48,TIDAK BIASA FACEBOOK LIVE
yust ups Si bungsu,5,2024-09-30 04:42:59,mantap pokoknya
Ilham Amanda,5,2024-09-30 04:42:45,good
Sofyan Sanusi,5,2024-09-30 04:42:40,Facebook sangan membantu saya berkomunikasi dengan teman jauh yg lama tak bertemu
Siti Masitoh,5,2024-09-30 04:42:30,Satu aja cukup
Sodikin Ikin,5,2024-09-30 04:40:55,Bgus
Suwarno,5,2024-09-30 04:36:43,"sangat mudah digunakan, membantu untuk saling berinteraksi menambah teman dan sangat menghibur"
Sumardi Wijaya,5,2024-09-30 04:36:33,Keren
Supriati Ningsih,5,2024-09-30 04:35:14,sangat bagusss
Rondi Kusuma,5,2024-09-30 04:33:03,Tolong jangan jadi penghancur pasangan orang lain. iri tanda tak mapu
Bang Daffa,5,2024-09-30 04:24:12,sangat baik
Fernando Marpaung,2,2024-09-30 04:23:16,"Lebih bagus fb lite dari pada ini, masa tombol kembali selalu otomatis langsung keluar ke arah beranda, misalnya kita cari akun orang trus kita buka komen, pas pencet kembali langsung ke beranda, kan asuu ini fb."
I Wayan Kayanta,5,2024-09-30 04:21:41,bagus
Stefania Wiwis,5,2024-09-30 04:21:35,"Update FB semoga tambah lancar dan tambah sukses, rejekinya mengalir dr FB nih.. Aminnn"
Sunar 234,5,2024-09-30 04:21:16,keren banget
Jaminuddin Arfan,1,2024-09-30 04:20:42,Parah bug
Alta Cahyanto,1,2024-09-30 04:18:01,Betulin woi aku mau coba login gw ga mau pake akun utama (akun ke 1) padahal gw mau pake akun lain tetep ga mau betulin woi!
Rey Tia,5,2024-09-30 04:17:25,nice
Pahyudi Baturaja,5,2024-09-30 04:12:16,saya Gmail untuk ber man gema di kerstor selamat menunaikan Gmail terima kasih yang mengunakan selamat Gmail
Jr.,5,2024-09-30 04:12:07,sangat bagus jika facebook telah ditingkatkan dalam hal keamanan pengguna.
Kik Kuk,4,2024-09-30 04:11:38,bagus
Edy Syahputra,5,2024-09-30 04:08:43,terbaik
Nita Mustika,4,2024-09-30 04:07:29,ok
BETTI ADVENT,5,2024-09-30 04:02:36,sangat membantu
Sri Dg bau,5,2024-09-30 03:59:15,sangat bagus
Daniel gule,5,2024-09-30 03:55:27,Aplikasi yg sangat bagus
Santy Nahak,3,2024-09-30 03:54:02,Good
Nafal ikram Nafal,5,2024-09-30 03:52:26,Ok
bang Abol,5,2024-09-30 03:46:41,mantap
Lahutri Ila 1791,5,2024-09-30 03:45:13,Sempurna
Asnita Ainung Asnita Ainung,5,2024-09-30 03:43:48,Assalamualaikum
Rizqiya Zahra,1,2024-09-30 03:38:51,Susah
Andre Silalahi,1,2024-09-30 03:36:55,Setelah di update tanda ganti akun nya hilang
Hilda Hilda,1,2024-09-30 03:34:09,hidk
Syarifah lulu,5,2024-09-30 03:29:24,syritanfah Lulu
Cakra djafar,1,2024-09-30 03:27:44,Pemberitahuan hilang
Nurmiati,5,2024-09-30 03:25:59,bagus
Hendra Puspa,5,2024-09-30 03:21:10,ok
Dony Tritanto,5,2024-09-30 03:16:25,Good
Febri Muhammad,5,2024-09-30 03:15:34,Facebook keren
Idha Nayla,5,2024-09-30 03:12:15,terbaik
alyi Akbar,5,2024-09-30 03:06:20,sangat bagus
Soleha 123,5,2024-09-30 03:05:06,Ok
Apih04 Apih,1,2024-09-30 03:04:36,iy
Amir TO,5,2024-09-30 03:04:19,mantap
Arsila Safrina,5,2024-09-30 02:59:55,iklan selot nya di kurangi
Wawansyaiful Anwar,5,2024-09-30 02:54:41,setia sampai akhir hayat
Febby Ngemang,5,2024-09-30 02:53:38,sangat bermanfaat. thank's sharenya
Guna Wan,5,2024-09-30 02:53:33,sangat bagus
FIRDAUS BANGKO,5,2024-09-30 02:53:04,Bagus
Muslim Power,5,2024-09-30 02:50:17,suka
Sam Sudin,5,2024-09-30 02:49:01,Sangat membantu lebih bagus
Dewi Sartika,5,2024-09-30 02:37:04,👍👍👍👍👍👍👍👍👍👍👍👍👍
Okaf Schizo,5,2024-09-30 02:35:38,good
Bunika bentojunior,5,2024-09-30 02:30:37,suka banget
Melsa Melsa,5,2024-09-30 02:29:09,Facebook sangat keren.sy harap untuk pemberian dolar ke akun yg sudah Monet jangan pelit ya min kasihan mereka butuh waktu tenaga dan biaya.fb keren memberikan peluang pekerjaan
Rusmadi Channel,4,2024-09-30 02:23:56,Mantap
Agus Zebua,5,2024-09-30 02:17:29,bagus
Hamdani Dani,3,2024-09-30 02:16:30,Sangat baik
AjayHandsome 21,1,2024-09-30 02:14:20,Keamanan privasi sangat buruk. Padahal tidak pernah login link phishing apapun . Bisa-bisanya di retas. Meta 👎👎👎
imran sanjaya,5,2024-09-30 02:08:54,baik
hikma sabil,5,2024-09-30 01:57:58,good
Bayoe Indra,5,2024-09-30 01:57:38,sangat memuaskan
abang as'ad,4,2024-09-30 01:56:47,sangat membantu dalam mencari hal hal yg baru
Agliyana Sugiarti,5,2024-09-30 01:55:08,masih pemula ☺️ semoga bisa yaah kayak konten kreator lainnya
katrinaambu kaka,5,2024-09-30 01:52:29,sangat 👍Baik
Gun Gun,5,2024-09-30 01:51:21,Knpaa aploudan vidio saya ga muncul di beranda..
Edius Mo,4,2024-09-30 01:46:26,"Suda di update tapi saat login ke game selalu bilang aplikasi tidak aktif, masalahnya di mana tolong di perbaiki🙏"
Ahmad Mawalid,5,2024-09-30 01:42:39,sukses selalu
Jumha Ri,4,2024-09-30 01:39:57,sangat bagus
Danga Ali Hau,1,2024-09-30 01:38:56,"kenapa menu menu pemberitahuan di bagian atas selalu hilang, pada hal sudah update, bahkan uninstal baru download lagi,tetap juga selalu eror"
Holik Abdulholik,5,2024-09-30 01:31:44,Mantap banget ini aplikasihnya.
H. ENNI,5,2024-09-30 01:29:35,Semogah kedepan lebih baik
Bunda Adam,4,2024-09-30 01:29:16,"Knp FB nya g ada mode profesional nya. Di cari"" g bisa ke buka🙏🙏🙏"
Wiraa channel,5,2024-09-30 01:27:45,mantap
sajong Mole,5,2024-09-30 01:25:23,Mohon aktifkan fitur real dan akses bintangnya min supaya saya bersemangat membuat konten
yeriko mof,5,2024-09-30 01:24:45,baik seekali
Yolandan Oktarita,5,2024-09-30 01:20:43,Bismillahirrahmanirrahim semoga apa yg saya impikan untuk jadi kenyataan.meraih masa depan keluarga saya dari Facebook Aamiin
Irwan Kuswanto gondrong gaul,4,2024-09-30 01:20:38,Semoga menjadi barokah aamiin
Catur Setyo,5,2024-09-30 01:17:50,kenapa setiap membuka meta selalu keluar sendiri dari aplikasi..
Mulyana Bin e basuki,5,2024-09-30 01:15:41,bagus
Delon De,5,2024-09-30 01:12:48,Aplikasi nya bagus banget
Yeye Ndutq,5,2024-09-30 01:11:32,Bagus bagus bagussss bangett
Nawin Nawin,5,2024-09-30 01:11:25,Sumber pengetahuan yang cukup signifikan dalam pengalaman kehidupan sehari-hari tentang bertukar pikiran untuk proses kehidupan yang lebih baik
Raka Saputra,5,2024-09-30 01:10:49,sangat bagus
Bang def Bang def,5,2024-09-30 01:10:14,oje
Lawawoi Sidenreng,4,2024-09-30 01:06:37,ILHAM
Bayu Permana,5,2024-09-30 00:57:43,Mantap
bujang kelana87,1,2024-09-30 00:55:53,knp sekarang komen orang lain tidak bisa dilihat.... padahal itu dapat membantu mengetahui informasi.. 💩
Abdul Hasan,5,2024-09-30 00:52:42,pemula
IRWAN HARIADI,5,2024-09-30 00:46:54,good
Amelia Cahyani,5,2024-09-30 00:43:27,Bagus
Zafar Zara (Zafar dan Zara),1,2024-09-30 00:43:19,Facebook sekarang sangat sangat aneh sembarangan tutup akun orang
Qhania Azhari,5,2024-09-30 00:39:47,Alhamdulillah sya senang skli menggunakan Facebook
Natasya Sinaga,3,2024-09-30 00:33:43,Honolulu koyo eliek dantrik
Amy Rizky,5,2024-09-30 00:33:34,👍🏽👍🏽
siti khamidah,5,2024-09-30 00:33:16,FACEBOOK MEMBUAT AKU BERSEMANGAT DAN BERSYUKUR KARENA BISA MENDAPAT PENGHASILAN TAMBAHAN DARI KONTEN
Nenong Yanda,3,2024-09-30 00:28:14,Pesan sampai di inbox terlalu lama..jadi kesannya slow respon 🤦‍♂️
Mahirah Mahirah,5,2024-09-30 00:27:06,sangat menyenangkan
Farah Maulud,5,2024-09-30 00:26:04,Baik
Muhammad Zakariyah,5,2024-09-30 00:24:00,Baik
Lia Maliani,5,2024-09-30 00:22:11,the best
M Zulkifli,5,2024-09-30 00:10:51,Seru
Fadil Penfolds,5,2024-09-30 00:09:24,abc
Muhamad Yunus,5,2024-09-30 00:05:37,Sangat bagus
Sulis Tyorini,4,2024-09-30 00:01:42,baik
WIANTO,4,2024-09-29 23:51:50,Sangat bagus
Nadar Usman,5,2024-09-29 23:51:03,mantap
Surya Darma,4,2024-09-29 23:49:37,Mantap
Giva Riski,1,2024-09-29 23:48:53,Tolong di perbaiki bug tidak ada fitur notif profil permintaan teman dll jadi susah untuk meninjau notifikasi
furqon alfaristy,1,2024-09-29 23:46:36,versi paling parah... banyak sekali bug nya
Vivo Indramayu,5,2024-09-29 23:43:26,Kenapa ga bisa buka marketplace
Sandranita Umar,5,2024-09-29 23:42:51,Sangat baik
Maryono Gajjello,4,2024-09-29 23:34:24,good
Dayu Sardian,5,2024-09-29 23:29:36,aplikasi yg sangat membantu
Kinanti Aurelia,5,2024-09-29 23:29:29,Keren
Muhammad fateh Radjasa,5,2024-09-29 23:27:48,Muhammad Fateh Sarah Khaakaa Bus Sri Sofia Poniman Papa Dedi Irawan lbu Hendika Sari Dyah Pak Ubay
Chelsea Adinda,5,2024-09-29 23:26:00,mantap
Dewi Osa,5,2024-09-29 23:15:28,apknya bagus banget
HADI SUGITO,1,2024-09-29 23:09:01,di update bukannya bener malah sering nge bug
Irwani Iwan,5,2024-09-29 23:07:17,Kecewa
Nur Dewi,1,2024-09-29 23:01:52,gaskan daku
Sugi Anto,5,2024-09-29 22:56:22,pikri
Sah Bandy,5,2024-09-29 22:54:36,tidak terlihat fitur bintang
Rosita May,5,2024-09-29 22:47:25,baik
Irfan bali Azzikra,5,2024-09-29 22:39:13,Bagus sekali cuman akhir ini fitur pengaturan dan notifikasi hilang
Sang Destroyer,5,2024-09-29 22:34:50,sangat bagus
Jo Nar,5,2024-09-29 22:34:38,baguss sering beri pembatasan pada kami supaya kami tidak berkembang
Syaif 789,5,2024-09-29 22:32:28,ups
akun freefire,1,2024-09-29 22:29:03,Aneh
Anto Ahmad,5,2024-09-29 22:27:36,mantap
Gozali The goz,5,2024-09-29 22:26:03,baik
Rein 1993,4,2024-09-29 22:25:51,Oke
Diki Diki,2,2024-09-29 22:23:11,di update malah semakin buruk aflikasi menghilang.
ardi Sunardi,5,2024-09-29 22:13:27,very good
Gudang Ban Cirebon,5,2024-09-29 22:09:05,Membantu.. Utuk menyebarkan informasi secara cepat dan mengembangkan usaha
Saepullah saepullah,5,2024-09-29 22:08:16,superrr
Mumtaz Ali,5,2024-09-29 22:06:12,"Alhamdulillah di lancarkan segala nya, insyaallah bermanfaat 🤗"
Irwan Nazarudin,5,2024-09-29 22:02:29,sangat baik semoga ke depan nya sukses
Sentot Ngentot,5,2024-09-29 21:49:24,Sagat bagus
Suhartono Saja,5,2024-09-29 21:44:17,Cool
Hendra Koswara,5,2024-09-29 21:43:26,gassssken
Gazali Gazali,5,2024-09-29 21:35:07,FRancdi yangk 3didi
Ating Ogan,5,2024-09-29 21:20:49,keren
NKY Ari,1,2024-09-29 21:18:02,"Beli bintang udh 3 hari tapi tidak masuk2. Padahal pembayaran sudah berhasil. Jangan gitu dong,itu belinya pakai uang!! Setidaknya isi lah fitur untuk complain ataupun untuk refund. Jangan menggelapkan dana pengguna. Meskipun nilainya tidak seberapa,tapi itu berharga buat pemula untuk nyawer."
Enysagita10,3,2024-09-29 20:59:16,"menurut ku terlalu bebas punya orang""tapi kenapa kalo punya saya serba salah"
Camko Gaming,1,2024-09-29 20:55:57,Fix delete number phone
Apriyanto Kale,5,2024-09-29 20:39:16,saya sangat senang
Muhammad Mullya mudaini,5,2024-09-29 20:35:48,Cakep
The “Speak Facts” Truth,1,2024-09-29 20:30:29,"kirim kode sms untuk login berjam jam tidak dikirim sama elo, minta ulang kirim balasnya ""anda menjengkelkan dan berperilaku tidak sopan"" LO YANG MENJENGKELKAN DAN TIDAK SOPAN, BAPAK MOYANG LO PIG !!!!!!"
Yanto Welder,5,2024-09-29 20:29:47,sangat membantu
Sity Maesaroh Maesaroh,4,2024-09-29 20:23:35,Bgus
Samawa Rea,5,2024-09-29 20:17:41,sangat bermanfaat
Abhidin Ayuni,5,2024-09-29 20:14:57,Bagus
ramadhan Putra,5,2024-09-29 20:11:00,saat baik
Mamah Ria,5,2024-09-29 20:01:19,🥰🥰
Phuphut Lheo,5,2024-09-29 19:46:25,ok
Jupry ikom,5,2024-09-29 19:44:15,Mantul
AyuBaliSpa BaliSpa,5,2024-09-29 19:33:16,sangat bagus
Azizil Rohim,5,2024-09-29 19:28:01,Fecebok sangat apk yang membantu
Uhex Yasir,5,2024-09-29 19:19:17,mntap
Anggi Salon999,5,2024-09-29 19:16:06,"sebenarnya kagen dengan aplikasi Facebook., sudah mau masuk 3 bukan sebentar lagi, akun ku sampe sekarang ID Anggita MirZani belum bisa ku gapai, karena banyak kendala, tapi di satu sisi mbah google tidak mengijinkan, mala di jadikan tambah susah lg, padahal sudah di jelasin sedetail mungkin😢"
nda,3,2024-09-29 19:11:20,tolong tambah fitur agar bisa mengetahui akun yang batal mengikuti
ogi pratama24,5,2024-09-29 19:06:11,mantap
RIZO VAGANZA,3,2024-09-29 18:57:46,Apk yg bagus buat ngisi waktu kosong
Naura Hasna,5,2024-09-29 18:54:07,sangat bermanfaat sekali
Sanny Sanny,4,2024-09-29 18:48:55,Saya suka dengan aplikasi 6
Silvana Tangkowit,5,2024-09-29 18:47:29,di pertingkat soal jaringan
Kiki Liu,5,2024-09-29 18:44:34,Sangat penting bagi saya untuk berinteraksi dengan teman dengan menggunakan kan fb
Imas Komalasari,5,2024-09-29 18:37:47,Good sangat suka
Suef 1980,5,2024-09-29 18:33:56,Fb pro.keren
Cherbond Motor,5,2024-09-29 18:32:49,Bisa membantu menjaring konsumen melalui jemaah facebookiyah
EDCA Tutorial,5,2024-09-29 18:31:22,"Udah uninstal trs instal ulamg, tetep aja notif gak bisa di buka.."
eis kartika,5,2024-09-29 18:23:25,👍👍👍👍👍👍👍👍👍
Darto Edan58,5,2024-09-29 18:23:12,lumayan
Taufik Hidayat,5,2024-09-29 18:21:57,Sangat bgs
Abdurahman Man,3,2024-09-29 18:20:12,kurangi iklan mind
karenz rayosdelsol,1,2024-09-29 18:13:17,"Gajelas aplikasi terbodoh, dikit dikit ngebug sekalinya ngebug jangka waktunya sangat lama, perbaikin dong"
mulyadi leo,5,2024-09-29 18:12:32,bagus tapi untuk cat nya tidak bisa di perbarui
UjaNk Ade,5,2024-09-29 18:11:10,luar biasa
gopar selalu,5,2024-09-29 18:08:13,"smnga semakin berjaya dan sukses slalu buat facebook profesional ,amin🤲🤲"
Ade Rajab,5,2024-09-29 17:58:41,keren
Valentino Syaputra,5,2024-09-29 17:58:01,aplikasi nya bgus
Hera theevil,5,2024-09-29 17:53:45,sangat bagus
Delima Sinaga,5,2024-09-29 17:51:31,Mantap
GG geming geming,5,2024-09-29 17:46:09,oooouuuu mau good
Ayah E Whildhan,5,2024-09-29 17:40:33,suka
Vivo Bma,5,2024-09-29 17:36:29,Terbaik
Heri Ariel Firmansyah,2,2024-09-29 17:31:16,"Fb ini bnyak konten negatf nya kok lolos ya padahal bisa merusk moral anak"" karna isinya tidak mendidik"
Ahsin Masur,1,2024-09-29 17:31:12,Terimakasih kasih. Aplikasi nya sangat bagus 🙏🙏🙏
Saepul Bakri,5,2024-09-29 17:25:29,Ok
Pengguna Google,5,2024-09-29 17:23:45,Vidi M
Alfaro Bravo,1,2024-09-29 17:20:21,"Aplikasi semakin parah aja,,lelet ampun"
Samud Play,2,2024-09-29 17:19:19,"Fb skrang sensitif banget fb kena bajak karna hp nya hilang, malah jadi di noaktifkan akun padahal akun fb dari pertama ada fb sakit hati banget gua"
Unna Piter,5,2024-09-29 17:19:09,Bagus bgt utk saya
Putu Pastika,5,2024-09-29 17:17:43,Good
Nurul Hidayanti,5,2024-09-29 17:17:37,Aplikasi FB emang the best semoga jadi ladang penghasilan ku.. dan untuk fitur2 nya semoga kalau eror segera bisa di perbaiki lagi
CHOMAR,4,2024-09-29 17:12:47,Lumayan Okkk.... 👍👍
Rani Rahmawati,5,2024-09-29 17:09:19,Its oke
Kholifah Lifa,5,2024-09-29 17:08:53,😊
Toko bypas Sejahtera,5,2024-09-29 17:07:36,Facebook meta is the best in the world 👌😍
Arty leocentil,5,2024-09-29 17:01:11,"Masi baru fi fb, tapi aku kasih binta lima gaeesss😍"
Zenal Arifin,5,2024-09-29 16:58:55,bagus
Solikhin Ganteng,5,2024-09-29 16:58:48,Menyenangkan menambah wawasan...
Kiki Anggreni,5,2024-09-29 16:56:56,"Bagus banget,"
Gala Gle,5,2024-09-29 16:54:02,ok
Rendi Muhammad,3,2024-09-29 16:49:53,꧁❤•༆$ℛℰℕⅅᎽℒ❤️༒꧂
Enok Jubaedah,1,2024-09-29 16:48:55,Trimakasi Fb krena dengan ada nyafb Bisa terhubung dgn kluarga jauh dan gakcuma itu siraturahmi dgn teman pun lancar 👃
Andaresta rivaldo Rival,5,2024-09-29 16:47:42,Ok
Andi ekopriyadi Ekopriyadi,5,2024-09-29 16:45:29,Jooosss
Madalih Madalih,2,2024-09-29 16:42:17,mntap
Zulham Zulham,5,2024-09-29 16:42:14,"Saya sangat berharap,Facebook bisa lebih baik lagi.agar semua pengguna akan merasa nyaman menggunakan Facebook.hanya satu yang saya pinta,bertindak tegas lah kepada para pembajak akun Facebook.agar kami pengguna bisa merasa nyaman...🙏🙏🙏"
Fatan Putra,5,2024-09-29 16:41:59,mntap
MTs Sudirman,5,2024-09-29 16:35:41,"Media untuk seluruh umat manusia, manfaatkan untuk kebaikan.."
Toto Slamet,3,2024-09-29 16:34:48,Ok
Sifa Nuralawiyah,5,2024-09-29 16:32:37,"Jakarta, 29 September 2024 Yth. Team Facebook Saya atas nama sifa Nur Alawiyah Ingin memberikan informasi mengenai akun Facebook saya yang bernama sifah nurawaliyah dengan menggunakan poto profil 2 anak kecil berbaju biru didalam mobil telah mengalami pembajakan dari oknum yang tidak bertanggung jawab, Saya memohon bantuan kepada team Facebook kiranya agar memblokir permanen Facebook saya karena sudah banyak korban penipuan di akun saya yang sudah dibajak itu Saya sangat memohon bantuannya."
Ajari Aku,5,2024-09-29 16:31:22,bagus
Harif Idham,1,2024-09-29 16:27:49,"saya sangat kecewa sama pihak martceples tidak ada prikemanusian,main blokir aja sangat kacau"
Ratmi Ratmi,5,2024-09-29 16:24:00,Sering error
Nova Yatna,4,2024-09-29 16:23:46,Lumayan lahh
Mila Kartika,5,2024-09-29 16:22:43,"bagus banget dengan fitur yang jauh berbeda dengan yang dulu,,rekomended"
Eyang Gembor,5,2024-09-29 16:20:28,Sangat suka dan membantu saya lanjutkan kasih lagi fitur yang bagus apdet terus aplikasi nya
Muhammad Fajar,5,2024-09-29 16:12:16,sangat berguna.. 👍🏻👍🏻
Tok Tugu,5,2024-09-29 16:10:08,𝒚𝒆𝒔
Rilawaty Moriju,5,2024-09-29 16:09:08,Luar
Fikar Brew,5,2024-09-29 16:08:48,sangat bagus
Jajat Sudrajat,5,2024-09-29 16:08:15,mantap
Abdul Gofur,5,2024-09-29 16:06:56,jangkauan luas
Farhan Nudin,5,2024-09-29 16:05:23,ok
Karna Setiawan,5,2024-09-29 16:02:20,acc iklan reel nya mba meta
Asep Fals,5,2024-09-29 16:01:29,sangat keren 👍
Amin Minda,5,2024-09-29 15:59:03,mantap
Putra Saputra,5,2024-09-29 15:56:15,sangat bagus
Lukman Saad,5,2024-09-29 15:50:27,Dengan ini aq bisa cari tmn dn punya teman baru. Dn busa menyimpan semua foto dn video biyar gk hilang
Putu Sumitrayasa,1,2024-09-29 15:48:41,"Mau ganti akun sulit banget harus selalu lewat Ig, gada pilihan ke akun Facebook lain kah? Bukannya makin dipermudah malah makin sulit"
Ahmad Safar,5,2024-09-29 15:48:12,sangat bagus sekali
Teh ica Icha,1,2024-09-29 15:47:57,Ram coba sedikit
RASITA RASITA,3,2024-09-29 15:46:45,RASITA RASIH
